Path_length,Distance,Time,Samples
17.0,1.437134866981538,19.07605767250061,100.0
13.0,0.8847396656885018,36.93981194496155,100.0
7.0,0.9322881625389381,53.945420265197754,100.0
18.0,1.2752031917652618,71.50358438491821,100.0
24.0,1.663579427483028,96.24781894683838,100.0
17.0,1.2390377936698762,116.0256085395813,100.0
14.0,1.127148463519298,133.96955490112305,100.0
19.0,1.2471304085827353,149.07803177833557,100.0
16.0,1.0845153160094056,170.52987623214722,100.0
16.0,1.2036911073337015,191.06288957595825,100.0
18.0,1.2074751421277812,209.7583770751953,100.0
13.0,0.9983508182173833,235.31436419487,100.0
13.0,0.8999811145498563,253.2938551902771,100.0
15.0,1.0936979363533812,270.72448801994324,100.0
18.0,1.157141528031641,284.71056151390076,100.0
18.0,1.2583121393768033,317.8475966453552,100.0
6.0,0.6909142793740105,337.0624830722809,100.0
22.0,1.5583174288448658,398.91506123542786,250.0
14.0,0.9666847904291527,443.17013478279114,250.0
10.0,1.065025872960602,493.285395860672,250.0
18.0,1.1428778692237047,540.9684000015259,250.0
15.0,1.072576796654454,583.5922379493713,250.0
16.0,1.2701972685374963,623.6977665424347,250.0
20.0,1.3411595273291415,669.7743566036224,250.0
15.0,1.0733386150070667,714.2211349010468,250.0
16.0,1.0998372685736273,763.005254983902,250.0
10.0,0.759691540915991,808.4126188755035,250.0
19.0,1.1994570686355654,856.3122262954712,250.0
20.0,1.4512913808778145,905.3523070812225,250.0
20.0,1.3689710337026535,986.1237893104553,250.0
14.0,0.9836811896750284,1039.6453638076782,250.0
7.0,0.7016761430104139,1091.8852825164795,250.0
15.0,1.0528771306548064,1137.6900885105133,250.0
18.0,1.188497976278419,1175.586442232132,250.0
19.0,1.2300587389432234,1227.4057364463806,250.0
15.0,0.998898609386264,1278.2869482040405,250.0
17.0,1.1597353156907948,1373.607697725296,500.0
14.0,0.9788767492634448,1469.896241426468,500.0
14.0,0.9845858709073126,1567.2720057964325,500.0
11.0,1.089861865886803,1661.2259573936462,500.0
15.0,0.9824189636376813,1745.453830242157,500.0
14.0,1.1251179105278009,1826.7760469913483,500.0
14.0,0.9453683152111454,1929.5731546878815,500.0
16.0,1.1182500540450064,2023.4338579177856,500.0
13.0,0.8982988625928087,2116.1836063861847,500.0
14.0,0.896597803388286,2211.5886528491974,500.0
18.0,1.1946971329475873,2300.433029651642,500.0
16.0,1.0986672282069727,2395.9353682994843,500.0
14.0,0.8870861606146339,2485.1087698936462,500.0
13.0,1.0356676196721888,2572.907126903534,500.0
14.0,0.8521007503858944,2665.1701538562775,500.0
14.0,0.9451952421179828,2765.7994215488434,500.0
10.0,0.9415070281538358,2860.8102791309357,500.0
16.0,1.2535716772206364,2962.153988838196,500.0
16.0,1.0552675419827646,3056.3910505771637,500.0
16.0,1.2344451578565496,3152.078916311264,500.0
