n_samples,graph_interpolations,execution_times,path_length,euclidean_distances
100.0,1.0,20.26662278175354,5.0,1.132558963777846
100.0,1.0,20.500681400299072,5.0,0.8227230405351649
100.0,1.0,14.244345426559448,6.0,1.004515407480187
100.0,1.0,20.02013659477234,5.0,1.0940222839958182
100.0,1.0,15.673569202423096,0.0,0.0
100.0,1.0,15.960814714431763,5.0,1.0207593342524894
100.0,1.0,16.17482042312622,7.0,1.4901649201025036
100.0,1.0,20.96598196029663,4.0,0.6489636859328213
100.0,1.0,10.911291122436523,0.0,0.0
100.0,1.0,15.971422672271729,10.0,1.827383512306369
100.0,2.0,16.632766485214233,11.0,1.18584285613925
100.0,2.0,17.16799521446228,7.0,0.7088522047685308
100.0,2.0,18.933586597442627,9.0,0.8706736067016934
100.0,2.0,16.584518909454346,11.0,1.2395010823016528
100.0,2.0,15.869585990905762,7.0,1.010252850056053
100.0,2.0,13.562195301055908,0.0,0.0
100.0,2.0,20.15231704711914,10.0,0.9900675879125376
100.0,2.0,13.476939916610718,10.0,0.9740786435185421
100.0,2.0,16.015649557113647,12.0,1.0300718900427657
100.0,2.0,17.11884593963623,6.0,0.7283302584791147
100.0,3.0,16.28443717956543,17.0,1.283995360740433
100.0,3.0,12.854374647140503,13.0,1.2281800854014693
100.0,3.0,19.02091407775879,12.0,1.1166988964929236
100.0,3.0,19.414616584777832,10.0,1.2094079835091665
100.0,3.0,10.524334907531738,0.0,0.0
100.0,3.0,20.61424946784973,13.0,1.0309635880071069
100.0,3.0,11.898694276809692,0.0,0.0
100.0,3.0,22.359997272491455,19.0,1.228696518353315
100.0,3.0,16.13550591468811,15.0,1.0012299855816225
100.0,3.0,13.122347116470337,18.0,1.3266278558224833
100.0,5.0,15.696637392044067,20.0,0.9652623670442058
100.0,5.0,16.280246257781982,32.0,1.3504006241197895
100.0,5.0,17.537030935287476,0.0,0.0
100.0,5.0,17.079366207122803,16.0,1.1912837273801709
100.0,5.0,17.601600885391235,13.0,0.787766835309736
100.0,5.0,17.633837699890137,26.0,1.1803141295589117
100.0,5.0,15.603525161743164,23.0,1.2534987177522066
100.0,5.0,21.704893112182617,17.0,0.9904973209878951
100.0,5.0,10.716872453689575,0.0,0.0
100.0,5.0,20.041725873947144,20.0,0.792043873953082
250.0,1.0,46.39900088310242,7.0,1.1648956961156114
250.0,1.0,41.90690636634827,4.0,0.6980333062673163
